Genus,Zymo,HF_EXP001_EXP002_0017,HF_EXP001_EXP002_0035,HF_EXP001_EXP002_0055
Bacillus,12.5,16.0569261709934,17.0195127193454,15.5978936702642
Enterococcus,12.5,9.13152279042633,8.90277415293919,8.81680151066214
Escherichia,12.5,16.7247493743955,18.7328246618665,16.8322151772418
Lactobacillus,12.5,12.5719637072632,10.3121113959808,13.8323840520749
Listeria,12.5,11.1703025929963,9.64121774106883,11.8519428281929
Pseudomonas,12.5,2.30437385817585,2.82481538910297,2.33968405053963
Salmonella,12.5,13.5637195449591,14.7704069883476,12.9327417596758
Staphylococcus,12.5,18.1248752629074,17.4017839323272,17.2866420007062
